""	"x"
"273"	"Iowa"
"274"	"Iowa"
"275"	"Iowa"
"276"	"Iowa"
"277"	"Iowa"
"278"	"Iowa"
"279"	"Iowa"
"280"	"Iowa"
"281"	"Iowa"
"282"	"Iowa"
"283"	"Iowa"
"284"	"Iowa"
"285"	"Iowa"
"286"	"Iowa"
"287"	"Kansas"
"288"	"Kansas"
"289"	"Kansas"
"290"	"Kansas"
"291"	"Kansas"
"292"	"Kansas"
"293"	"Kansas"
"294"	"Kansas"
"295"	"Kansas"
"296"	"Kansas"
"297"	"Kansas"
"298"	"Kansas"
"299"	"Kansas"
"300"	"Kansas"
"301"	"Kansas"
"302"	"Kansas"
"303"	"Kansas"
"304"	"Kansas"
"305"	"Kansas"
"306"	"Kansas"
"307"	"Kansas"
"308"	"Kansas"
"309"	"Kansas"
"310"	"Kansas"
"311"	"Kentucky"
"312"	"Kentucky"
"313"	"Kentucky"
"314"	"Kentucky"
"315"	"Kentucky"
"316"	"Kentucky"
"317"	"Kentucky"
"318"	"Kentucky"
"319"	"Kentucky"
"320"	"Kentucky"
"321"	"Kentucky"
"322"	"Kentucky"
"323"	"Kentucky"
"324"	"Kentucky"
"325"	"Kentucky"
"326"	"Kentucky"
"327"	"Kentucky"
"328"	"Kentucky"
"329"	"Kentucky"
"330"	"Kentucky"
"331"	"Kentucky"
"332"	"Louisiana"
"333"	"Louisiana"
"334"	"Louisiana"
"335"	"Louisiana"
"336"	"Louisiana"
"337"	"Louisiana"
"338"	"Louisiana"
"339"	"Louisiana"
"340"	"Louisiana"
"341"	"Louisiana"
"342"	"Louisiana"
"343"	"Louisiana"
"344"	"Louisiana"
"345"	"Louisiana"
"346"	"Louisiana"
"347"	"Louisiana"
"348"	"Louisiana"
"349"	"Louisiana"
"350"	"Louisiana"
"351"	"Louisiana"
"352"	"Louisiana"
"353"	"Louisiana"
"354"	"Maine"
"355"	"Maine"
"356"	"Maine"
"357"	"Maine"
"358"	"Maine"
"359"	"Maine"
"360"	"Maine"
"361"	"Maine"
"362"	"Maine"
"363"	"Maine"
"364"	"Maine"
"365"	"Maryland"
"366"	"Maryland"
"367"	"Maryland"
"368"	"Maryland"
"369"	"Maryland"
"370"	"Maryland"
"371"	"Maryland"
"372"	"Maryland"
"373"	"Maryland"
"374"	"Maryland"
"375"	"Maryland"
"376"	"Maryland"
"377"	"Maryland"
"378"	"Maryland"
"379"	"Maryland"
"380"	"Maryland"
"381"	"Maryland"
"382"	"Massachusetts"
"383"	"Massachusetts"
"384"	"Massachusetts"
"385"	"Massachusetts"
"386"	"Massachusetts"
"387"	"Massachusetts"
"388"	"Massachusetts"
"389"	"Massachusetts"
"390"	"Massachusetts"
"391"	"Massachusetts"
"392"	"Massachusetts"
"393"	"Massachusetts"
"394"	"Massachusetts"
"395"	"Massachusetts"
"396"	"Massachusetts"
"397"	"Massachusetts"
"398"	"Massachusetts"
"399"	"Massachusetts"
"400"	"Massachusetts"
"401"	"Massachusetts"
"402"	"Massachusetts"
"403"	"Massachusetts"
"404"	"Massachusetts"
"405"	"Massachusetts"
"406"	"Massachusetts"
"407"	"Massachusetts"
"408"	"Massachusetts"
"409"	"Minnesota"
"410"	"Minnesota"
"411"	"Minnesota"
"412"	"Minnesota"
"413"	"Minnesota"
"414"	"Minnesota"
"415"	"Minnesota"
"416"	"Minnesota"
"417"	"Minnesota"
"418"	"Minnesota"
"419"	"Minnesota"
"420"	"Minnesota"
"421"	"Minnesota"
"422"	"Minnesota"
"423"	"Minnesota"
"424"	"Missouri"
"425"	"Missouri"
"426"	"Missouri"
"427"	"Missouri"
"428"	"Missouri"
"429"	"Missouri"
"430"	"Missouri"
"431"	"Missouri"
"432"	"Missouri"
"433"	"Missouri"
"434"	"Missouri"
"435"	"Missouri"
"436"	"Missouri"
"437"	"Missouri"
"438"	"Missouri"
"439"	"Missouri"
"440"	"Missouri"
"441"	"Missouri"
"442"	"Missouri"
